TICKER	DATES	TIMES	STK_LAST
VNH	2012/09/11	12:00:00	34000
VNI	2012/09/11	12:00:00	48000
VNL	2012/09/11	12:00:00	125000
VNM	2012/09/11	12:00:00	1050000
VNR	2012/09/11	12:00:00	0
VNS	2012/09/11	12:00:00	235000
VNT	2012/09/11	12:00:00	148000
VOS	2012/09/11	12:00:00	27000
VPC	2012/09/11	12:00:00	27000
VPH	2012/09/11	12:00:00	37000
VPK	2012/09/11	12:00:00	176000
VRC	2012/09/11	12:00:00	56000
VSC	2012/09/11	12:00:00	320000
VSG	2012/09/11	12:00:00	9000
VSH	2012/09/11	12:00:00	102000
VSI	2012/09/11	12:00:00	73000
VST	2012/09/11	12:00:00	28000
VTB	2012/09/11	12:00:00	79000
VTC	2012/09/11	12:00:00	28000
VTF	2012/09/11	12:00:00	256000
VTL	2012/09/11	12:00:00	0
VTO	2012/09/11	12:00:00	45000
VTS	2012/09/11	12:00:00	0
VTV	2012/09/11	12:00:00	76000
VXB	2012/09/11	12:00:00	0
WCS	2012/09/11	12:00:00	384000
WSS	2012/09/11	12:00:00	47000
XMC	2012/09/11	12:00:00	61000
YBC	2012/09/11	12:00:00	107000
