TICKER	DATES	TIMES	STK_LAST
SED	2012/09/13	12:00:00	9100
SEL	2012/09/13	12:00:00	0
SFN	2012/09/13	12:00:00	0
SGC	2012/09/13	12:00:00	0
SGD	2012/09/13	12:00:00	7500
SGH	2012/09/13	12:00:00	0
SHB	2012/09/13	12:00:00	6600
SHC	2012/09/13	12:00:00	2800
SHN	2012/09/13	12:00:00	1300
SHS	2012/09/13	12:00:00	5500
SIC	2012/09/13	12:00:00	5000
SJ1	2012/09/13	12:00:00	0
SJC	2012/09/13	12:00:00	7000
SJE	2012/09/13	12:00:00	8300
SJM	2012/09/13	12:00:00	0
SKS	2012/09/13	12:00:00	0
SME	2012/09/13	12:00:00	0
SMT	2012/09/13	12:00:00	4100
SNG	2012/09/13	12:00:00	14500
SPP	2012/09/13	12:00:00	6300
SQC	2012/09/13	12:00:00	80000
SRA	2012/09/13	12:00:00	3600
SRB	2012/09/13	12:00:00	2600
SSG	2012/09/13	12:00:00	0
SSM	2012/09/13	12:00:00	6100
STC	2012/09/13	12:00:00	8300
STL	2012/09/13	12:00:00	4200
STP	2012/09/13	12:00:00	9000
SVN	2012/09/13	12:00:00	0
SVS	2012/09/13	12:00:00	3100
TAG	2012/09/13	12:00:00	30200
TAS	2012/09/13	12:00:00	0
TBX	2012/09/13	12:00:00	10700
TC6	2012/09/13	12:00:00	12100
TCS	2012/09/13	12:00:00	12300
TCT	2012/09/13	12:00:00	72100
TDN	2012/09/13	12:00:00	12000
TET	2012/09/13	12:00:00	0
TH1	2012/09/13	12:00:00	26100
THB	2012/09/13	12:00:00	11000
THT	2012/09/13	12:00:00	10800
THV	2012/09/13	12:00:00	1300
TIG	2012/09/13	12:00:00	2300
TJC	2012/09/13	12:00:00	2700
TKC	2012/09/13	12:00:00	4600
TKU	2012/09/13	12:00:00	0
TLC	2012/09/13	12:00:00	2000
TLT	2012/09/13	12:00:00	2100
TMC	2012/09/13	12:00:00	0
TMX	2012/09/13	12:00:00	5400
TNG	2012/09/13	12:00:00	7100
TPH	2012/09/13	12:00:00	0
TPP	2012/09/13	12:00:00	9100
TSB	2012/09/13	12:00:00	0
TSM	2012/09/13	12:00:00	0
TST	2012/09/13	12:00:00	4200
TTC	2012/09/13	12:00:00	3900
TV2	2012/09/13	12:00:00	10600
TV3	2012/09/13	12:00:00	0
TV4	2012/09/13	12:00:00	7400
TVD	2012/09/13	12:00:00	8600
TXM	2012/09/13	12:00:00	3000
UNI	2012/09/13	12:00:00	7100
V12	2012/09/13	12:00:00	5700
V15	2012/09/13	12:00:00	2700
V21	2012/09/13	12:00:00	0
VAT	2012/09/13	12:00:00	6700
VBC	2012/09/13	12:00:00	0
VBH	2012/09/13	12:00:00	15000
VC1	2012/09/13	12:00:00	0
VC2	2012/09/13	12:00:00	10000
VC3	2012/09/13	12:00:00	0
VC5	2012/09/13	12:00:00	6300
VC6	2012/09/13	12:00:00	6300
VC7	2012/09/13	12:00:00	6100
VC9	2012/09/13	12:00:00	6100
VCC	2012/09/13	12:00:00	8400
VCG	2012/09/13	12:00:00	7900
VCH	2012/09/13	12:00:00	1300
VCM	2012/09/13	12:00:00	10100
VCR	2012/09/13	12:00:00	2800
VCS	2012/09/13	12:00:00	9600
VCV	2012/09/13	12:00:00	2600
VDL	2012/09/13	12:00:00	0
VDS	2012/09/13	12:00:00	3800
VE1	2012/09/13	12:00:00	2900
VE2	2012/09/13	12:00:00	0
VE3	2012/09/13	12:00:00	0
VE8	2012/09/13	12:00:00	6100
VE9	2012/09/13	12:00:00	5700
VFR	2012/09/13	12:00:00	6700
VGP	2012/09/13	12:00:00	12000
VGS	2012/09/13	12:00:00	4100
VHH	2012/09/13	12:00:00	3500
VHL	2012/09/13	12:00:00	16500
VIE	2012/09/13	12:00:00	0
VIG	2012/09/13	12:00:00	1500
VIT	2012/09/13	12:00:00	4900
VIX	2012/09/13	12:00:00	11000
VKC	2012/09/13	12:00:00	4800
VLA	2012/09/13	12:00:00	10700
VMC	2012/09/13	12:00:00	0
VNC	2012/09/13	12:00:00	0
VND	2012/09/13	12:00:00	9700
VNF	2012/09/13	12:00:00	29100
VNR	2012/09/13	12:00:00	12800
VNT	2012/09/13	12:00:00	15800
VPC	2012/09/13	12:00:00	2800
VTC	2012/09/13	12:00:00	0
VTL	2012/09/13	12:00:00	0
VTS	2012/09/13	12:00:00	0
VTV	2012/09/13	12:00:00	0
VXB	2012/09/13	12:00:00	0
WCS	2012/09/13	12:00:00	37000
WSS	2012/09/13	12:00:00	4800
XMC	2012/09/13	12:00:00	0
YBC	2012/09/13	12:00:00	0
