CODE	NAME	PROVIDER	PLACE	TYPE	SUB_TYPE
VNXASINEPRJPY	IFRC VNX ALL-SHARE INDUSTRIALS EW (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASINEPRUSD	IFRC VNX ALL-SHARE INDUSTRIALS EW (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASINETREUR	IFRC VNX ALL-SHARE INDUSTRIALS EW TR (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASINETRJPY	IFRC VNX ALL-SHARE INDUSTRIALS EW TR (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASINETRUSD	IFRC VNX ALL-SHARE INDUSTRIALS EW TR (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASINTREUR	IFRC VNX ALL-SHARE INDUSTRIALS TR (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASINTRJPY	IFRC VNX ALL-SHARE INDUSTRIALS TR (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASINTRUSD	IFRC VNX ALL-SHARE INDUSTRIALS TR (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASLGPREUR	IFRC VNX ALL-SHARE LARGE (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASLGPRJPY	IFRC VNX ALL-SHARE LARGE (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASLGPRUSD	IFRC VNX ALL-SHARE LARGE (USD)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASLGEPREUR	IFRC VNX ALL-SHARE LARGE EW (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASLGEPRJPY	IFRC VNX ALL-SHARE LARGE EW (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASLGEPRUSD	IFRC VNX ALL-SHARE LARGE EW (USD)	IFRCRESEARCH	Vietnam	EQUITY	Size
